id,type,href,ike_dist,price,land_area,house_area,BCR,FAR,nearest_station,station_dist,age,can_not_be_rebuilt
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,nan,nan,nan,nan,nan,nan,nan,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,,清瀬,9,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,6070,200,戸田公園,10,nan,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,,保谷,14,nan,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,,ひばりヶ丘,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17057720001732,新築一戸建て,https://www.homes.co.jp/kodate/b-17057720001732/,36,4690,79.91,87.46,,,中浦和,5,nan,False
